result_contract_version,scenario_id,scenario_kind,omitted_short_lived_species,block_id,block_index,block_size,removed_reference_zero_based_indices,long_lived_species,short_lived_species,short_lived_control_count,long_enrichment_ratio,short_enrichment_ratio,long_effect_size_cohens_d,short_effect_size_cohens_d,enrichment_delta,enrichment_log2_ratio,contrast_sign,full_baseline_contrast_sign,sign_matches_full_baseline,contrast_class,contrast_note,generic_contrast_classification_reused,source_metric_scope,leave_one_control_out_run,residue_block_jackknife_run,single_long_lived_lineage_limitation,gate8_disposition_run,gate8_promoted,gate9_promoted,biological_claim_made,result_date
1,full_short_lived_baseline,full,none,none,none,none,none,elephant,mouse|hamster,2,0.59271069444374358,0.55643987560407893,-0.56760338487777706,-0.72071331519391524,0.036270818839664654,0.091102278665869146,positive,positive,true,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a1_reproduced_baseline,false,false,true,false,false,false,false,2026-07-20
1,leave_mouse_out,leave_one_control_out,mouse,none,none,none,none,elephant,hamster,1,0.59271069444374358,0.59823664002011123,-0.56760338487777706,-0.65845373223330916,-0.0055259455763676524,-0.013388184786001598,negative,positive,false,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a1_reproduced_baseline,true,false,true,false,false,false,false,2026-07-20
1,leave_hamster_out,leave_one_control_out,hamster,none,none,none,none,elephant,mouse,1,0.59271069444374358,0.51464311118804662,-0.56760338487777706,-0.78297289815452131,0.07806758325569696,0.20375577329497713,positive,positive,true,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a1_reproduced_baseline,true,false,true,false,false,false,false,2026-07-20
1,block_1_short_lived_baseline,residue_block_jackknife,none,block_1,0,10,24|25|26|27|47|48|49|50|51|52,elephant,mouse|hamster,2,0.65409395413968363,0.56469063217626725,-0.47780497394425647,-0.70037137387998194,0.089403321963416382,0.2120371812959406,positive,positive,true,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a3_block_jackknife,false,true,true,false,false,false,false,2026-07-20
1,block_2_short_lived_baseline,residue_block_jackknife,none,block_2,1,10,53|54|55|56|57|58|59|60|61|62,elephant,mouse|hamster,2,0.58617742749343182,0.52989426623918112,-0.57290659723252135,-0.75978152810133948,0.056283161254250702,0.14563289715508634,positive,positive,true,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a3_block_jackknife,false,true,true,false,false,false,false,2026-07-20
1,block_3_short_lived_baseline,residue_block_jackknife,none,block_3,2,9,65|66|67|68|69|70|71|72|73,elephant,mouse|hamster,2,0.63764412037624418,0.61679312938479913,-0.50081097064671043,-0.61789051597065725,0.020850990991445051,0.047964762082032271,positive,positive,true,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a3_block_jackknife,false,true,true,false,false,false,false,2026-07-20
1,block_4_short_lived_baseline,residue_block_jackknife,none,block_4,3,9,74|81|85|90|91|92|93|94|95,elephant,mouse|hamster,2,0.50705911319844221,0.56701234692239777,-0.68459862477234079,-0.70001581618193565,-0.059953233723955557,-0.16122620365163798,negative,positive,false,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a3_block_jackknife,false,true,true,false,false,false,false,2026-07-20
1,block_5_short_lived_baseline,residue_block_jackknife,none,block_5,4,9,96|97|98|99|100|102|103|106|108,elephant,mouse|hamster,2,0.58002227787264327,0.50332755980320432,-0.58070832224274394,-0.80358697480570485,0.07669471806943895,0.20461071821438981,positive,positive,true,shared_interface_constraint,Long-lived and short-lived rows both show interface constraint.,true,a3_block_jackknife,false,true,true,false,false,false,false,2026-07-20
